City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Barrow,71.2906,-156.7887,-25.58,68,100,10.36,US,overcast clouds
1,Nara,34.6851,135.8049,48.96,42,96,10.2,JP,overcast clouds
2,Chuy,-33.6971,-53.4616,67.73,87,3,7.9,UY,clear sky
3,Vaini,-21.2,-175.2,86.16,74,20,9.22,TO,few clouds
4,Gondanglegi,-7.7479,112.0132,82.22,77,100,5.48,ID,overcast clouds
5,Okitipupa,6.5047,4.7839,76.42,94,100,0.74,NG,overcast clouds
6,Iqaluit,63.7506,-68.5145,-31.31,73,39,4.0,CA,scattered clouds
7,Alta Gracia,-31.6529,-64.4283,67.89,82,2,6.33,AR,clear sky
8,Kapaa,22.0752,-159.319,75.11,70,28,3.0,US,scattered clouds
9,Tiksi,71.6872,128.8694,-21.5,98,47,5.95,RU,scattered clouds
10,Arraial Do Cabo,-22.9661,-42.0278,72.72,94,100,8.88,BR,moderate rain
11,Goundam,16.4145,-3.6708,73.99,11,21,8.72,ML,few clouds
12,Saint-Philippe,-21.3585,55.7679,80.19,94,100,27.65,RE,heavy intensity rain
13,Berlevag,70.8578,29.0864,26.38,66,100,16.87,NO,light snow
14,Port Alfred,-33.5906,26.891,71.04,69,1,21.3,ZA,clear sky
15,Pacific Grove,36.6177,-121.9166,63.25,69,0,4.61,US,clear sky
16,Upernavik,72.7868,-56.1549,-6.32,78,100,7.07,GL,overcast clouds
17,Madinat Sittah Uktubar,29.8167,31.05,50.09,75,0,5.93,EG,clear sky
18,Puerto Ayora,-0.7393,-90.3518,77.56,92,41,3.0,EC,scattered clouds
19,New Norfolk,-42.7826,147.0587,72.66,25,100,5.55,AU,overcast clouds
20,Ushuaia,-54.8,-68.3,42.46,65,75,5.75,AR,broken clouds
21,Ahipara,-35.1667,173.1667,74.7,61,21,4.74,NZ,few clouds
22,Mayo,38.8876,-76.5119,30.97,38,0,18.41,US,clear sky
23,Butaritari,3.0707,172.7902,80.22,83,100,21.39,KI,light rain
24,Qaanaaq,77.484,-69.3632,-2.76,50,19,9.17,GL,few clouds
25,Thompson,55.7435,-97.8558,-5.62,96,98,7.76,CA,overcast clouds
26,Ostrovnoy,68.0531,39.5131,28.26,93,100,11.14,RU,overcast clouds
27,Paracuru,-3.41,-39.0306,82.11,84,96,8.34,BR,overcast clouds
28,Rancho Palos Verdes,33.7445,-118.387,70.5,62,75,16.11,US,broken clouds
29,Dong Hoi,17.4833,106.6,62.08,85,100,15.88,VN,overcast clouds
30,Mahebourg,-20.4081,57.7,81.25,94,75,25.32,MU,broken clouds
31,San Patricio,28.017,-97.5169,57.29,60,12,8.32,US,few clouds
32,Ancud,-41.8697,-73.8203,56.43,89,90,4.92,CL,overcast clouds
33,Codrington,-38.2667,141.9667,68.43,50,100,13.4,AU,overcast clouds
34,Hobart,-42.8794,147.3294,73.02,37,75,11.5,AU,broken clouds
35,Ndjole,-0.1783,10.7649,73.47,97,100,2.35,GA,light rain
36,Bethel,41.3712,-73.414,25.56,54,21,13.0,US,few clouds
