City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
4,Gondanglegi,ID,82.22,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
5,Okitipupa,NG,76.42,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
8,Kapaa,US,75.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Arraial Do Cabo,BR,72.72,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
11,Goundam,ML,73.99,few clouds,16.4145,-3.6708,
12,Saint-Philippe,RE,80.19,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
14,Port Alfred,ZA,71.04,clear sky,-33.5906,26.891,The Halyards Hotel
18,Puerto Ayora,EC,77.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,New Norfolk,AU,72.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
21,Ahipara,NZ,74.7,few clouds,-35.1667,173.1667,Ahipara Holiday Park
23,Butaritari,KI,80.22,light rain,3.0707,172.7902,Isles Sunset Lodge
27,Paracuru,BR,82.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
28,Rancho Palos Verdes,US,70.5,broken clouds,33.7445,-118.387,Terranea Resort
30,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
34,Hobart,AU,73.02,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
35,Ndjole,GA,73.47,light rain,-0.1783,10.7649,Motel Kédyann
40,Oussouye,SN,73.17,scattered clouds,12.485,-16.5469,Auberge du Routard
41,Souillac,MU,81.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
42,Busselton,AU,75.04,overcast clouds,-33.65,115.3333,Observatory Guest House
50,Mar Del Plata,AR,71.1,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
53,Rikitea,PF,78.96,clear sky,-23.1203,-134.9692,People ThankYou
54,Kieta,PG,85.69,light rain,-6.2167,155.6333,Uruna Bay Retreat
57,Hervey Bay,AU,86.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
60,Mana,GF,74.68,broken clouds,5.6592,-53.7767,LE SAMANA
62,Kalmunai,LK,76.82,scattered clouds,7.4167,81.8167,VS Villa
65,Buala,SB,85.59,light rain,-8.145,159.5921,Maringe Lagoon Lodge
66,Meulaboh,ID,80.85,few clouds,4.1363,96.1285,Kost Pria
67,Touho,NC,81.0,overcast clouds,-20.7833,165.2333,Auberge Timay Evasion
71,Sombrio,BR,72.93,few clouds,-29.1139,-49.6167,Hotel e Restaurante Sao Cristovao
80,Moranbah,AU,87.33,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
81,Atuona,PF,78.44,clear sky,-9.8,-139.0333,Villa Enata
83,Hilo,US,79.79,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
88,Sao Filipe,CV,70.45,overcast clouds,14.8961,-24.4956,Hotel Xaguate
94,Hithadhoo,MV,81.32,overcast clouds,-0.6,73.0833,Scoop Guest House
96,Axim,GH,79.07,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
99,Ambon,ID,86.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
103,Airai,TL,73.35,broken clouds,-8.9266,125.4092,
105,Carnarvon,AU,102.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
108,Yulara,AU,87.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
109,Tautira,PF,84.0,overcast clouds,-17.7333,-149.15,Pension Oaoa
110,Bajil,YE,74.91,overcast clouds,15.0584,43.2851,فندق حضرموت
115,East London,ZA,71.6,few clouds,-33.0153,27.9116,Tu Casa
118,Progreso,MX,78.12,broken clouds,21.2833,-89.6667,Playa Linda Hotel
119,Quelimane,MZ,75.11,light rain,-17.8786,36.8883,Hotel Flamingo
123,Faanui,PF,81.59,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
126,Bengkulu,ID,81.75,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
131,Coahuayana,MX,81.88,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
134,Santa Maria,BR,72.36,broken clouds,-29.6842,-53.8069,Hotel Morotin
135,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
147,Touros,BR,77.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
149,Port Hedland,AU,100.45,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
150,Richards Bay,ZA,70.32,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
153,Hobyo,SO,78.17,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
154,Geraldton,AU,91.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
155,Luanda,AO,77.59,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
158,Tirumullaivasal,IN,76.66,broken clouds,11.2333,79.8333,Almupaark complex
160,Sinnamary,GF,75.11,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
166,Lorengau,PG,84.49,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
171,Harper,LR,78.8,scattered clouds,4.375,-7.7169,Screensaver
172,Nelson Bay,AU,85.28,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
173,Honiara,SB,86.2,scattered clouds,-9.4333,159.95,Heritage Park Hotel
174,Sao Jose Da Coroa Grande,BR,79.93,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
175,Sapele,NG,77.99,overcast clouds,5.8941,5.6767,Movig Hotel & Suites
176,Huarmey,PE,72.59,overcast clouds,-10.0681,-78.1522,Hotel Miramar
177,Cooma,AU,82.33,clear sky,-36.2333,149.1333,High Country Motel
